file,peak_linear_acc_mps2,peak_rotational_acc_rads2
Rugby1.xlsx,19.5778,2632.2557
Rugby10.xlsx,12.1096,845.6099
Rugby100.xlsx,15.5482,1132.8479
Rugby1000.xlsx,13.2321,1149.9712
Rugby1001.xlsx,31.2642,1647.0052
Rugby1002.xlsx,13.2887,707.7919
Rugby1003.xlsx,17.8120,2191.6430
Rugby1004.xlsx,11.4364,2556.2907
Rugby1005.xlsx,20.0474,1898.3292
Rugby1006.xlsx,36.2339,8613.6930
Rugby1007.xlsx,16.0335,1230.1632
Rugby1008.xlsx,8.0266,1153.1056
Rugby1009.xlsx,25.1003,2375.7332
Rugby101.xlsx,9.5714,922.1754
Rugby1010.xlsx,24.6897,2658.6995
Rugby1011.xlsx,25.7968,2293.2886
Rugby1012.xlsx,11.9381,1029.8809
Rugby1013.xlsx,15.4536,1565.9748
Rugby1014.xlsx,12.4101,1455.6108
Rugby1015.xlsx,15.3763,1950.3288
Rugby1016.xlsx,16.4223,914.0617
Rugby1017.xlsx,81.7184,8183.6153
Rugby1018.xlsx,10.6194,906.4865
Rugby1019.xlsx,23.9387,2258.2451
Rugby102.xlsx,31.7212,1923.9205
Rugby1020.xlsx,127.2676,14393.2653
Rugby1021.xlsx,27.1436,2723.6780
Rugby1022.xlsx,40.9972,1611.7644
Rugby1023.xlsx,13.0668,1017.3158
Rugby1024.xlsx,18.3913,1485.1476
Rugby1025.xlsx,20.5042,1203.0360
Rugby1026.xlsx,34.3316,3334.1384
Rugby1027.xlsx,21.1317,1056.5974
Rugby1028.xlsx,71.2744,1701.5013
Rugby1029.xlsx,11.6280,1292.1990
Rugby103.xlsx,19.2594,1924.1484
Rugby1030.xlsx,23.1486,2082.8175
Rugby1031.xlsx,8.6119,639.0830
Rugby1032.xlsx,14.1875,1173.5014
Rugby1033.xlsx,16.3589,1324.6951
Rugby1034.xlsx,17.6998,1620.5893
Rugby1035.xlsx,15.7299,1819.5350
Rugby1036.xlsx,13.8072,1291.1726
Rugby1037.xlsx,24.3659,1797.5024
Rugby1038.xlsx,12.4383,1136.1811
Rugby1039.xlsx,44.4139,2834.1660
Rugby104.xlsx,20.2253,2816.7155
Rugby1040.xlsx,14.2797,511.3240
Rugby1041.xlsx,16.3091,1480.3068
Rugby1042.xlsx,35.7833,4153.5686
Rugby1043.xlsx,16.4023,1637.7035
Rugby1044.xlsx,19.3786,953.7391
Rugby1045.xlsx,21.8484,2603.4730
Rugby1046.xlsx,37.2270,2456.5555
Rugby1047.xlsx,22.4275,2145.5788
Rugby1048.xlsx,36.1855,2118.5384
Rugby1049.xlsx,17.5086,1323.7772
Rugby105.xlsx,25.8999,2594.6886
Rugby1050.xlsx,25.5401,1352.6567
Rugby1051.xlsx,17.2547,1765.6638
Rugby1052.xlsx,6.5023,1163.7566
Rugby1053.xlsx,21.1657,1154.1509
Rugby1054.xlsx,40.4808,1272.3826
Rugby1055.xlsx,10.4833,1864.7931
Rugby1056.xlsx,39.6942,2199.9074
Rugby1057.xlsx,24.0785,5318.3660
Rugby1058.xlsx,18.5266,1920.3949
Rugby1059.xlsx,21.7231,2667.3342
Rugby106.xlsx,12.8420,1270.2546
Rugby1060.xlsx,25.5660,1548.4720
Rugby1061.xlsx,14.9305,1112.7824
Rugby1062.xlsx,16.2708,975.6814
Rugby1063.xlsx,14.4669,1696.1111
Rugby1064.xlsx,11.6258,769.2037
Rugby1065.xlsx,14.1256,860.0681
Rugby1066.xlsx,12.9873,1441.9128
Rugby1067.xlsx,39.1990,1233.6844
Rugby1068.xlsx,14.1168,1793.8160
Rugby1069.xlsx,11.0782,1398.4010
Rugby107.xlsx,14.6627,1401.4762
Rugby1070.xlsx,26.0332,1414.4166
Rugby1071.xlsx,6.0435,554.8194
Rugby1072.xlsx,17.1694,1523.4533
Rugby1073.xlsx,9.7821,594.1344
Rugby1074.xlsx,4.3930,230.8880
Rugby1075.xlsx,13.1648,1657.6566
Rugby1076.xlsx,17.5265,1426.9200
Rugby1077.xlsx,12.4828,1381.1950
Rugby1078.xlsx,20.4268,1234.0647
Rugby1079.xlsx,23.7885,1096.1922
Rugby108.xlsx,17.2054,947.4920
Rugby1080.xlsx,17.3776,1203.6307
Rugby1081.xlsx,13.4311,1719.6137
Rugby1082.xlsx,21.7554,1706.0702
Rugby1083.xlsx,43.6750,2752.1700
Rugby1084.xlsx,9.0534,828.0861
Rugby1085.xlsx,9.6389,1381.5037
Rugby1086.xlsx,49.9209,2460.3300
Rugby1087.xlsx,15.7506,533.3863
Rugby1088.xlsx,12.2300,1120.8405
Rugby1089.xlsx,10.0254,1339.3044
